proveedor,rfc_69b,definitivo_dof,inicio_contrato,titulo_contrato,monto_mxn_millones,codigo_contrato
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2019-01-22,"Osteosíntesis, Material de Curación y Laboratorio",5.2,1997437
Construcciones Rodriguez Anton Sa de Cv,CRA120813AY9,2017-06-30,2017-09-18,Adaptación de Infraestructura Pública Incluyente y Su Equipamiento En Vías E Inm,5.16,1786020
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2017-12-22,"Aa-019Gyr018-E548-2017, Para la Adquisicion de Aparatos Médicos Para Equipamient",5.12,1674307
Infraestructura En Construccion Sa de Cv,ICO000721NN4,2018-10-08,2019-08-21,Lo-009000938-E146-2019,4.59,2129577
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2017-11-28,Para la Adq. de Aparatos Médicos Para Equipamiento del Programa Imss- Prospera,4.4,1644857
Arquitectura E Ingenieria En Obras Tursco Sa de Cv,AEI120721B74,2017-10-26,2019-08-14,San Juan Mistepec Dist 26 N16,4.25,2131688
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2019-01-22,"Osteosíntesis, Material de Curación y Laboratorio",4.0,1997409
Construcciones Rodriguez Anton Sa de Cv,CRA120813AY9,2017-06-30,2017-08-22,"Construcción de Cancha de Usos Múltiples Con Gradas, Alumbrado y Techumbre En La",3.74,1787722
Consa de Occidente Sa de Cv,COC101213AK9,2017-12-14,2018-08-20,Rehabilitacion de Tramo Noreste de Delimitacion Perimetral Recinto Portuario Gua,3.25,1921548
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2019-03-04,"Materiales, Accesorios y Suministros Médicos",2.42,2043016
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2018-04-13,Arrendamiento de Equipo E Instrumental Medico y de Laboratorio,2.4,2101532
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2018-05-03,"Ia-050Gyr033-E60-2018 Inv. a Cuando Menos Tres Personas, Bienes Terapeuticos",2.3,1807997
Distribuidora Universal Tobosa S.A. de C.V.,DUT100826KF4,2017-03-14,2017-05-16,"Adquisicion de Papeleria y Articulos de Oficina, Consumibles de Computo y Articu",2.05,1430580
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2018-06-20,Adquisición de  Material de Curación de Alta Especialidad Para Nutrición Parente,1.95,1927810
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2018-11-15,Adquisicion de Material de Curacion Para el Hospital Regional,1.89,1969380
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2019-01-22,"Osteosíntesis, Material de Curación y Laboratorio",1.6,1997446
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2018-04-10,"Servicio de Estudios de Electromiografía, Mediante Contrato Abierto",1.39,1855326
"Covisa Comercializadora, S.A. de C.V.",CCO101201DV2,2015-06-26,2015-10-01,Servicio de Difusión a Través de 39 Espacios Publicitarios En Carteleras Ubicada,1.29,1055684
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2017-12-04,"Adquisicion de Bienes Muebles, Inmuebles E Intangibles",0.92,1674280
Ingenieria Tpc Sa de Cv,ITP120709J3A,2017-02-07,2017-09-05,Supervisión y Control de Calidad Para la Modernización Mediante Entubamiento Del,0.7,1560819
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2018-10-23,La-050Gyr031-E207-2018 Adquisición de Equipamiento Asociado a Obras (Jcge),0.52,1952993
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2019-01-02,Adquisicion de Material de Cura. de Alta Esp. Neurocirugia  Conv. Modificatorio,0.38,2064233
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2019-01-02,Adquisicion de  Material de Curacion Para el Hospital Regional Morelia,0.37,1998673
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2019-02-01,Material de Curación de Alta Especialidad.,0.34,2012367
Interaccion Biomedica Sa de Cv,IBI120525IV9,2017-07-26,2018-07-26,Medicamentos de Alta Especialidad,0.26,1943895
